Old-ID,NEW,match?,Old Name,status,comments,OldID lookup,
,New484,#N/A,#N/A,,,Old286,
,New485,#N/A,#N/A,,,Old289,
,New486,#N/A,#N/A,,,Old445,
,New487,#N/A,#N/A,,,Old456,
,New488,#N/A,#N/A,,,Old87,
Old354,New489,Old354,Turkistan,,,Old242,
Old280,New49,Old280,Hierapolis,,,Old242,
Old294,New49,Old294,Mabbug,,,Old311,
Old366,New49,Old366,Mabbug,,,Old311,
Old442,New49,Old442,Hierapolis (Mabbug),,,Old317,
Old5,New49,Old5,Mabbugh,,,Old317,
Old351,New490,Old351,Semirechye (Yeti Su),,,Old130,
Old301,New491,Old301,Badghis,,,Old130,
,New492,#N/A,#N/A,,,Old256,
Old419,New493,Old419,India,,,Old389,
Old495,New493,Old495,India,,,Old389,
Old504,New493,Old504,India,,,Old262,
Old463,New494,Old463,Kerala,,,Old262,
Old506,New494,Old506,Kerala,,,Old281,
Old508,New495,Old508,Malabar,,,Old99,
Old511,New496,Old511,Coromandel,,,Old308,
Old510,New497,Old510,Travancore,,,Old308,
Old316,New498,Old316,Tenduc,,,Old346,
Old355,New499,Old355,Tangut,,,Old346,
Old180,New5,Old180,Araḏin,,,Old263,
Old287,New50,Old287,Melitene,,,Old263,
Old485,New50,Old485,Melitene,,,Old27,
Old6,New50,Old6,Melitene,,,Old27,
Old465,New500,Old465,China,,,Old156,
,New501,#N/A,#N/A,,,Old408,
Old121,New502,Old121,Adiabene,,,Old408,
Old56,New503,Old56,Hrbath Glal,,,Old335,
Old125,New504,Old125,BĒth-Garmai,,,Old335,
Old14,New504,Old14,Karka d'Beth Solkh,,,Old100,
Old149,New504,Old149,Karkā d-Bēth Slokh,,,Old100,
Old82,New504,Old82,Beth Garmai,,,Old243,
Old33,New505,Old33,Beth Bgash,,,Old243,
,New506,#N/A,#N/A,,,Old380,
Old144,New507,Old144,Bēth-Lapaṭ,,,Old244,
Old20,New507,Old20,Jundishapur,,,Old244,
Old228,New507,Old228,Beth Lapat / Gondeshapur,,,Old210,
Old77,New507,Old77,Elam,,,Old210,
Old159,New508,Old159,Šuštar,,,Old327,
Old71,New508,Old71,Shushter,,,Old327,
Old78,New509,Old78,Maishan,,,Old26,
Old7,New51,Old7,Maiperqat,,,Old26,
Old38,New510,Old38,Tamanon,,,Old28,
Old59,New511,Old59,Zabe,,,Old111,
Old92,New511,Old92,Nuʿmania,,,Old211,
,New512,#N/A,#N/A,,,Old211,
,New513,#N/A,#N/A,,,Old341,
Old49,New514,Old49,Tirhan,,,Old341,
Old128,New515,Old128,Kellia,,,Old112,
Old118,New516,Old118,Woundrous Mountain,,,Old245,
Old123,New517,Old123,Beth Aramaye,,,Old245,
Old81,New517,Old81,Beth Aramaye,,,Old298,
Old46,New518,Old46,Salakh,,,Old93,
Old55,New519,Old55,Ganzak,,,Old93,
Old8,New52,Old8,Hesna d'Kifa,,,Old113,
Old37,New520,Old37,Beth Dasen,,,Old113,
,New521,#N/A,#N/A,,,Old382,
,New522,#N/A,#N/A,,,Old382,
,New523,#N/A,#N/A,,,Old461,
,New524,#N/A,#N/A,,,Old63,
,New525,#N/A,#N/A,,,Old101,
,New526,#N/A,#N/A,,,Old101,
,New527,#N/A,#N/A,,,Old448,
Old299,New528,Old299,Karakorum,,,Old30,
,New529,#N/A,#N/A,,,Old30,
Old9,New53,Old9,Akhlat,,,Old446,
,New530,#N/A,#N/A,,,Old22,
,New531,#N/A,#N/A,,,Old103,
Old28,New532,Old28,Qarta,,,Old103,
,New533,#N/A,#N/A,,,Old214,
,New534,#N/A,#N/A,,,Old215,
,New535,#N/A,#N/A,,,Old291,
,New536,#N/A,#N/A,,,Old291,
