	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 14,707	1#277-278	CCCXXXIV	cccclxxviii	cccxxxiV		Sloane 3597	1#236-237	CCCIV	CCCIV	CCCIV	304	304	1701-2	1157				Jessie	Drafted	Lindsay	
Add. 14,505	1#282-283	CCCXXXIX	CCLIX	cccxxxix		Add. 14,522, foll. 4-26	1#246-247	CCCIX	CCCIX	CCCIX	309	309	Approx. 9c	218				Peter	Drafted		
Add. 14,504	1#280-282	CCCXXXVIII	CCLVIII	cccxxxviii		Add. 17,135	1#293-294	CCCL	cccl	#N/A	350	350	Approx. 10c	764							
Add. 14,488	1#194-200	CCL	CCXLIV	CCL		Add. 14,523, fol. 38 upper text	1#294	CCCLI	cccli	CCCLI	351	351	Approx. 10c	229				Peter	Drafted		
Add. 14,489	1#200-202	CCLI	CCCXLV	CCLI		Add. 14,523, fol. 38 lower text		CCCLI	cccli	CCCLI	351	351		1406				Peter	Drafted		
Add. 14,664, foll, 1-17, 20, 21	1#203	CCLIV	CCCXCVII	CCLIV		Add. 14,667, foll. 60-63	1#295	CCCLII	ccclii	#N/A	352	352	Approx. 10c	476							
Add. 14,664, foll 3-7, 9-17	1#203	CCLIV	DCXI	CCLIV		Add. 14,667, foll. 65-69	1#295	CCCLIII	cccliii	#N/A	353	353	Approx. 10c	478							
Add. 14,523, foll. 1-7	1#204	CCLVI	cclxxx	CCLVI		Add. 17,138	1#295	CCCLIV	cccliv	#N/A	354	354	Approx. 11c	767							
Add. 14,523, fol. 8	1#204	CCLVII	cclxxxi	CCLVII		Add. 14,737, foll. 65-70	1#297	CCCLIX	ccclix	#N/A	359	359	Approx. 12c-13c	683							
Add. 14,523, fol. 9	1#204	CCLVIII	cclxxxii	CCLVIII		Add. 17,213, fol. 20	1#295-296	CCCLV	ccclv	CCCLV	355	355	1101	887				Tucker	Drafted		
