	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
			DCCCCLIV			Add. 14,457, foll. 199-200	1#47	LXX	LXX	LXX	70	70	Approx. 12c-13c	1194				Tucker	Drafted and edited	Tucker, 11/16	
			DCCCCLV			Add. 14,458	1#47-48	LXXI	LXXI	LXXI	71	71	Approx. 6c-7c	131				Tucker	Drafted and edited	Tucker, 11/16	
			DCCCCLVI			Add. 17,113	1#48-49	LXXII	LXXII	LXXII	72	72	Approx. 6c-7c	742				Tucker	Drafted		
			DCCCCLVII			Add. 12,140	1#49	LXXIII	LXXIII	LXXIII	73	73	Approx. 6c	12				Tucker	Drafted and edited	Daniel 8/24	"⁃ https://github.com/srophe/manuscripts/blob/master/12.xml#L87 ||| Should it be quote or foreign for the language? 
⁃ https://github.com/srophe/manuscripts/blob/master/12.xml#L125 - added back the last section of the collation description. Although I see that it is addition1, I still think it should be included as part of the collation information since it is pertinent to that section.
⁃ https://github.com/srophe/manuscripts/blob/master/12.xml#L194 ||| Do we need Msparts due to the touchup jobs?
⁃ https://github.com/srophe/manuscripts/blob/master/12.xml#L152 || check dating for ""still late date""
⁃ There is paper material present as well
⁃ https://github.com/srophe/manuscripts/blob/master/12.xml#L1182 || should this phrase ""at a still later period"" got marked like ""still later date"" see LN152"
			DCCCCLVIII			Add. 14,451, foll. 1-22	1#49-50	LXXIV	LXXIV	#N/A	74	74	Approx. 8c	1158							
			DCCCCLIX			Add. 14,452, foll. 23-152	1#49-50	LXXIV	LXXIV	#N/A	74	74	Approx. 6c-7c	1160							
			DCCCCLX			Add. 14,450	1#55	LXXIX	LXXIX	LXXIX	79	79	Approx. 7c	122				Tucker	Drafted and edited	Daniel, 9/4	"⁃ https://github.com/srophe/manuscripts/blob/master/122.xml#L82 ||| Epistle to Carpianus - a work to be tagged?
⁃ https://github.com/srophe/manuscripts/blob/master/122.xml#L205 ||| Tucker question to be addressed"
			DCCCCLXI			(Add. 12,137)	1#50-52	LXXV	LXXV	LXXV	75	75	Approx. 6c-7c	9				Tucker	Drafted and edited	Daniel 	"Confused by the way you've done the parts??
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L130 ||| Is this how a hierarchy of msitems is done?
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L177 ||| condition - the ref target to the other msPart - does this work? (is our manual updated to this?)
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L243 ||| Cited Range - add to manual ?
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L261 |||
⁃ Part 2 - title should be? ""The Gospel of S. John, according to the Peshitta version"" ?
⁃ note should perhaps say ""Contains ch. vi. 35 …"" ?
⁃ additions - again ref to Part?
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L353 |||| Part 3 - again title question and contains comment as above
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L445 ||| Part 4 - again title question and contains comment as above
⁃ https://github.com/srophe/manuscripts/blob/master/9.xml#L572 |||| Part 5 - again title question and contains comment as above"
			DCCCCLXII			Add. 14,460	1#52-53	LXXVI	LXXVI	LXXVI	76	76	600	135				Tucker	Drafted and edited	Tucker, 1/2/2014	
			DCCCCLXXXIX			Add. 14,471	1#53-54	LXXVII	LXXVII	LXXVII	77	77	615	154				Tucker	Drafted and edited	Tucker, 1/3/2014	
			DCCCCXC			Add. 14,463	1#54-55	LXXVIII	LXXVIII	LXXVIII	78	78	Approx. 7c	140				Tucker	Drafted and edited	Tucker, 1/2/2014	
			DCCCCXCI			Add. 14,456	1#55-57	LXXX	LXXX	LXXX	80	80	Approx. 8c	129				Tucker	Drafted and edited	Daniel, 9/6	Very minor editing. This will need to be checked when converted to XML due to the table. 
			DCCCCXCII			Add. 17,118	1#57-58	LXXXI	LXXXI	LXXXI	81	81	Approx. 8c-9c	747				Tucker	Drafted		
			DCCCCXCIII			Add. 14,669, foll. 38-56	1#58	LXXXII	LXXXII	LXXXII	82	82	Approx. 9c	508				Tucker	Drafted and edited	Tucker, 2/28/2014	
			DCCCCXCIV			Add. 12,177	1#58-60	LXXXIII	LXXXIII	LXXXIII	83	83	1189	76				Tucker	Drafted and edited	Daniel 8/24	"⁃ https://github.com/srophe/manuscripts/blob/master/76.xml#L123 ||| Is this ancient foliation? I can't tell from Wright's description?
⁃ https://github.com/srophe/manuscripts/blob/master/76.xml#L146 ||| grc? and following on this:
⁃ https://github.com/srophe/manuscripts/blob/master/76.xml#L175 ||| Don't we need to add some Greek characters?"
			DCCCCXCV			Add. 17,922	1#60	LXXXIV	LXXXIV	LXXXIV	84	84	1222-3	1110				Tucker	Drafted		
			SCIENTIFIC LITERATURE			(Add. 12,141)	1#63-64	LXXXIX	LXXXIX	LXXXIX	89	89	Approx. 6c-7c	13				Tucker	Drafted and edited	Daniel 8/24	"⁃ https://github.com/srophe/manuscripts/blob/master/13.xml#L138 ||| I don't think the arithmetical figures are in arabic?
⁃ https://github.com/srophe/manuscripts/blob/master/13.xml#L261 ||| ref to MsPart
⁃ https://github.com/srophe/manuscripts/blob/master/13.xml#667 || Question for Michelson"
			DCCCCXCVII			Add. 14,465	1#60-61	LXXXV	LXXXV	LXXXV	85	85	Approx. 12c	142				Tucker	Drafted and edited	Tucker, 1/2/2014	
			DCCCCXCVIII			Add. 17,983	1#61-62	LXXXVI	LXXXVI	LXXXVI	86	86	1438	1112				Tucker	Drafted		
			DCCCCXCIX			Add. 14,454	1#62	LXXXVII	LXXXVII	LXXXVII	87	87	Approx. 6c-7c	127				Tucker	Drafted and edited	Daniel, 9/4	little bit of editing
			M			Add. 14,451, foll. 23-83 (new 1-61)	1#62-63	LXXXVIII	LXXXVIII	#N/A	88	88	Approx. 8c	123							
			MI			Add. 25,877	3#1179	M	M	M	1000	1000	1733	1146				Jessie	Drafted	Lindsay	
						Add. 21,211	3#1180-1182	MI	MI	MI	1001	1001	1831	1137				Jessie	Drafted	Lindsay	
						Add. 18,295	3#1183-1184	MII	#N/A	MII	1002	1002	1603	1113				Peter	Drafted		
			MIV			Add. 17,209	3#1184-1186	MIII	#N/A	MIII	1003	1003	Approx. 9c	871				Jessie	Drafted and edited	Lindsay 5/20/2020	"Many Greek words and some Syriac (??) numeric characters need to be added in. Also do the ""ep. [roman numeral]"" elements need to be put in Bibl brackets?"
			MV			Add. 14,661	3#1187	MIV	MIV	#N/A	1004	1004	Approx. 6c-7c	429							
			MVI			Add. 17,217, fol. 60	3#1194	MIX	MIX	MIX	1009	1009	Approx. 6c	952				Daniel	Drafted		
			MVII			Add. 17,156, foll. 13-15	3#1187-1188	MV	MV	#N/A	1005	1005	Approx. 8c	787							
			MVIII			Add. 14,662	3#1189	MVI	MVI	#N/A	1006	1006	Approx. 9c	430				DEMO			
			MIX			Egerton 709	3#1190-1191	MVII	MVII	MVII	1007	1007	Approx. 16c	1154				Jessie	Drafted	Lindsay	
			MX			Add. 25,878, foll. 1-70	3#1192-1193	MVIII	MVIII	#N/A	1008	1008	Approx. 17c	1148							
			MXI			Add. 17,213, fol. 43	3#1194	MX	MX	#N/A	1010	1010	Approx. 6c-7c	893				Tucker	Framework established for a later stage		
			MXII			Add. 17,216, fol. 50	3#1194	MXI	MXI	MXI	1011	1011	Approx. 10c/6c-7c	926				Peter	Drafted		
			MXIII			Add. 17,217, fol. 63	3#1195	MXII	MXII	MXII	1012	1012	Approx. illegible	955				Daniel	Drafted		
			MXIV			Add. 17,217, fol. 59	3#1195	MXIII	MXIII	MXIII	1013	1013	Approx. 8c	951				Daniel	Drafted		
			MXV			Add. 17,216, fol. 48	3#1195	MXIV	MXIV	MXIV	1014	1014	849	924				Peter	Drafted		
			MXVI			Add. 14,667, fol. 64	3#1197	MXIX	MXIX	#N/A	1019	1019	932	477							
			MXVII			Add. 17,216, fol. 47	3#1195-1196	MXV	MXV	MXV	1015	1015	869	923				Peter	Drafted		
			MXVIII			Add. 14,668, fol. 46	3#1196	MXVI	MXVI	#N/A	1016	1016	888	495				Tucker	Framework established for a later stage		
			MXIX			Add. 17,216, foll. 52, 53	3#1196	MXVII	MXVII	MXVII	1017	1017	Approx. 9c	928				Peter	Drafted		
			MXX			Add. 17,215, fol. 48	3#1196-1197	MXVIII	MXVIII	MXVIII	1018	1018	Approx. 9c-10c	908				Peter	Drafted		
			MXXI			Add. 17,216, fol. 49	3#1197	MXX	MXX	MXX	1020	1020	-932	925				Peter	Drafted		
			MXXII			Add. 17,216, fol. 51	3#1197	MXXI	MXXI	MXXI	1021	1021	-932	927				Peter	Drafted		
			MXXIII			Add. 17,213, fol. 42	3#1197	MXXII	MXXII	#N/A	1022	1022	Approx. 10c	892				Tucker	Framework established for a later stage		
			MXXIV			Add. 17,217, fol. 61	3#1197	MXXIII	MXXIII	MXXIII	1023	1023	Approx. 8c	953				Daniel	Drafted		
			MXXV			Add. 14,667, foll. 50, 51	3#1197-1198	MXXIV	MXXIV	#N/A	1024	1024	1057	472							
			MXXVI			Add. 14,739, fol. 24	3#1198-1199	MXXIX	MXXIX	#N/A	1029	1029	Approx. 13c	727							
			MXXVII			Add. 17,215, fol. 49	3#1198	MXXV	MXXV	MXXV	1025	1025	Approx. 11c	909				Peter	Drafted		
			MXXVIII			Add. 17,224, fol. 76	3#1198	MXXVI	MXXVI	#N/A	1026	1026	Approx. 11c-12c	1000				Tucker	Framework established for a later stage		
			MXXIX			Add. 17,213, fol. 41	3#1198	MXXVII	MXXVII	#N/A	1027	1027	1209	890				Tucker	Framework established for a later stage		
			MXXX			Add. 17,224, fol. 36	3#1198	MXXVIII	MXXVIII	#N/A	1028	1028	Approx. 13c	991				Tucker	Framework established for a later stage		
			MXXXI			Add. 17,224, fol. 77	3#1199	MXXX	MXXX	#N/A	1030	1030	Approx. 13c	1001				Tucker	Framework established for a later stage		
			MXXXII			Add. 14,737, fol. 98	3#1199	MXXXI	MXXXI	#N/A	1031	1031	1332	691							
			MXXXIII			Add. 14,738, fol. 120	3#1199	MXXXII	MXXXII	#N/A	1032	1032	1413	719				Daniel	Framework established for a later stage		
			MXXXIV			Add. 14,737, fol. 99	3#1199-1200	MXXXIII	MXXXIII	#N/A	1033	1033	1493	692							
			MXXXV			Add. 17,217, foll. 62	3#12	MXXXIV	MXXXIV	MXXXIV	1034	1034	Approx. (not given)	954				Daniel	Drafted		
			MXXXVI			Add. 17,218, fol. 97	3#12	MXXXV	MXXXV	#N/A	1035	1035	Approx. (not given)	979				Tucker	Framework established for a later stage		
						Add. 17,215, fol. 50	3#1200	MXXXVI	MXXXVI	MXXXVI	1036	1036	Approx. (not given)	910				Peter	Drafted		
						Add. 14,426	1#6	V	V	V	5	5	Approx. 6c-7c	82				Daniel	Drafted and edited	Tucker, 8/15	https://github.com/srophe/manuscripts/blob/master/82.xml#L82-84 <rubric> already implies <title>, so we don't need to include that element as well. ||||| https://github.com/srophe/manuscripts/blob/master/82.xml#L91-95 I turned this block of quote into a <table>. I'm sure you must've done this one before we introduced that structure to the schema, and I'm not sure we ever actually went over how these are done. But I've added this in here as an example if you need it. ||||| https://github.com/srophe/manuscripts/blob/master/82.xml#L158-160 I included a referenced link to the first addition in the accompanying material section based on the content of that addition.
						Add. 14,444, foll. 1-24	1#6	VI	VI	VI	6	6	Approx. 6c-7c	115				Tucker	Drafted and edited	Tucker, 11/16	
						Add. 12,172, foll. 165-196	1#6-7	VII	VII	VII	7	7	Approx. 10c-11c	67				Tucker	Drafted and edited	Tucker, 11/9	
						Add. 12,172, foll. 136-164	1#6-7	VII	VII	VII	7	7	Approx. 9c-10c	1182				Tucker	Drafted and edited	Tucker, 11/9	
						Add. 14,738, fol. 1	1#7	VIII	VIII	VIII	8	8	Approx. 14c	694				Daniel	Drafted and edited	Tucker, 12/27	
						Add. 14,444, foll. 25-38	1#8	X	X	X	10	10	Approx. 6c	116				Tucker	Drafted and edited	Tucker, 11/16	
						Add. 14,459, foll. 1-66	1#64	XC	XC	XC	90	90	Approx. 5c	133				Tucker	Drafted and edited	Tucker, 1/2/2014	
						Add. 14,459, fol. 12	1#64	XC	XC	XC	90	90	Approx. 6c	1171				Tucker	Drafted and edited	Tucker, 1/2/2014	
						Add. 17,117	1#64	XCI	XCI	XCI	91	91	Approx. 5c-6c (early)	746				Tucker	Drafted		
						Add. 14,462	1#64-65	XCII	XCII	XCII	92	92	Approx. 6c	139				Tucker	Drafted and edited	Tucker, 1/2/2014	
						Add. 17,116	1#65	XCIII	XCIII	XCIII	93	93	Approx. 6c	745				Tucker	Drafted		
						Add. 14,461, foll. 1-107	1#65-66	XCIV	XCIV	XCIV	94	94	Approx. 6c	137				Daniel	Drafted and edited	Tucker, 1/2/2014	
						Add. 14,669, foll. 34-36	1#67	XCIX	XCIX	XCIX	99	99	Approx. 6c	506				Tucker	Drafted and edited	Tucker, 2/28/2014	
						Add. 17,224, foll. 58-65	1#66	XCV	XCV	XCV	95	95	Approx. 13c	994				Daniel	Drafted and edited	Tucker, 12/30	
						Add. 17,115	1#66	XCVI	XCVI	XCVI	96	96	Approx. 6c	744				Daniel	Drafted and edited	Tucker, 12/27	Are foll. 87-88 better understood as a distinct msPart, even though Wright doesn't separate them? They are uniquely appended works by a unique hand. Maybe should be separated.
						Add. 14,467	1#66-67	XCVII	XCVII	XCVII	97	97	Approx. 10c (early)	148				Daniel	Drafted and edited	Tucker, 12/21	
						Add. 17,224, foll. 43-57	1#67	XCVIII	XCVIII	XCVIII	98	98	1173	993				Daniel	Drafted and edited	Tucker, 12/30	
						Add. 14,428	1#9-10	XI	XI	XI	11	11	724	84				Daniel	Drafted and edited	Tucker, 8/16	https://github.com/srophe/manuscripts/blob/master/84.xml#L84-85 I moved the Subscription to a <finalRubric> within the <msItem> (and subsequently renumbered the additions) ||||| https://github.com/srophe/manuscripts/blob/master/84.xml#L127-137 Who is this second scribe? What was his responsibility? I didn't see where his name was coming from but didn't want to delete in case I missed something. ||||| https://github.com/srophe/manuscripts/blob/master/84.xml#L161-162 I tagged the dates now that we established the @when-custom structure. Also tagged the <bibl>s with <ptr> links. ||||| https://github.com/srophe/manuscripts/blob/master/84.xml#L226 I added @calendar to the <origDate> because I think the inclusion of @calendar or @datingMethod will be the mechanisms to know when years are specified, whether exact years or a precise range.
						Add. 14,438, foll. 1-49	1#10	XII	XII	XII	12	12	Approx. 6c	101				Tucker	Drafted and edited	Tucker, 11/16	
						Add. 14,669, foll. 23, 24	1#10	XIII	XIII	XIII	13	13	Approx. 6c	501				Tucker	Drafted and edited	Tucker, 2/28/2014	
						Add. 14,668, foll. 1-3	1#10	XIV	XIV	XIV	14	14	Approx. 9c	484				Tucker	Drafted and edited	Tucker, 2/28/2014	
						Add. 14,439	1#13	XIX	XIX	XIX	19	19	Approx. 6c-7c	103				Daniel 	Drafted and edited	Tucker, 8/31	Minor edits to <handDesc> and <additions>. Added a table for clarity.
						Add. 12,135, foll. 1-43	1#24-26	XL	XL	XL	40	40	726	6				Tucker	Drafted and edited		
						Add. 14,445, foll. 1-3a	1#26	XLI	XLI	XLI	41	41	Approx. 8c-9c	1191				Tucker	Drafted and edited	Daniel, 8/27	"⁃ https://github.com/srophe/manuscripts/blob/master/117.xml#L90 ||| Edited title name - took ""including all the Apocryphal portions"" from a <note> and placed it in the title. Mostly for clarification with b1.
⁃ https://github.com/srophe/manuscripts/blob/master/117.xml#L172 ||| See collation?"
						Add. 14,445, foll. 3b-48	1#26-7	XLI	XLI	XLI	41	41	532	1192				Tucker	Drafted and edited	Daniel, 8/27	"⁃ https://github.com/srophe/manuscripts/blob/master/117.xml#L90 ||| Edited title name - took ""including all the Apocryphal portions"" from a <note> and placed it in the title. Mostly for clarification with b1.
⁃ https://github.com/srophe/manuscripts/blob/master/117.xml#L172 ||| See collation?"
						Add. 14,443, foll. 99-144	1#27	XLII	XLII	XLII	42	42	Approx. 6c	113				Daniel	Drafted and edited	Tucker, 9/4	Rearranged some of the <additions>
						Add. 14,666, foll. 38-46	1#27	XLIII	XLIII	XLIII	43	43	Approx. 6c-7c	455				Daniel	Drafted and edited	Tucker, 12/26	
						Add. 14,668, foll. 12-19	1#27	XLIV	XLIV	XLIV	44	44	Approx. 7c	486				Tucker	Drafted and edited	Tucker, 2/28/2014	
						Add. 12,134	1#29-31	XLIX	XLIX	XLIX	49	49	697	4				Tucker	Drafted and edited	Daniel, 8/17	"⁃ https://github.com/srophe/manuscripts/blob/master/4.xml#L91 |||| In the notes - are we always making locus <locus from=""2b"" to=""2b"">fol. 2 b</locus>? I have done <locus>2a</locus> on most of my notes. This okay, but put in locus when practical and mandatory on msItem and additions.
⁃ https://github.com/srophe/manuscripts/blob/master/4.xml#L91 |||| the 18 circles should be in a decoNote? Yes.
⁃ https://github.com/srophe/manuscripts/blob/master/4.xml#L168 |||| addition4 - should the english translations of the syriac quote - not be in quote? lines 173-175 Yes in quote.
⁃ https://github.com/srophe/manuscripts/blob/master/4.xml#L183 ||| addition6 - need a ref on Lazarus?Okay to leave empty ref attribute."
						Add. 14,666, foll. 37	1#27	XLV	XLV	XLV	45	45	Approx. 6c-7c	454				Daniel	Drafted and edited	Tucker, 12/26	
						Add. 17,213, fol. 3	1#28	XLVI	XLVI	XLVI	46	46	Approx. 9c	876				Tucker	Drafted		
						Add. 17,106, foll. 74-87	1#28	XLVII	XLVII	XLVII	47	47	Approx. 7c	735				Tucker	Drafted		
						Add. 14,442, foll. 1-46	1#28-29	XLVIII	XLVIII	XLVIII	48	48	Approx. 7c	107				Daniel	Drafted and edited	Tucker, 8/30	Rearranged msItems for Paul of Tella translation, rearranged elements for running title, labeled <choice><expan><abbr> sequences for Hexaplaric sources
						Add. 14,669, foll. 22	1#10	XV	XV	XV	15	15	Approx. 10c	500				Tucker	Drafted and edited	Tucker, 2/28/2014	
						Add. 14,440	1#10-11	XVI	XVI	XVI	16	16	Approx. 10c-11c	104				Daniel	Drafted and edited	Tucker, 9/4	Reorganized <msItem>s.
						Add. 17,102	1#11-12	XVII	XVII	XVII	17	17	599	729				Daniel	Drafted and edited	Tucker, 9/4	Restructured <handNote>s and <additions>
						Add. 12,172, foll. 197-234	1#12-13	XVIII	XVIII	XVIII	18	18	Approx. 6c-7c	68				Tucker	Drafted and edited	Tucker, 11/9	
						Add. 14,666, fol. 3	1#13	XX	XX	XX	20	20	Approx. 6c-7c	448				Daniel	Drafted and edited	Tucker, 12/26	
						Add. 14,438, foll. 53-101	1#13-14	XXI	XXI	XXI	21	21	Approx. 6c	102				Tucker	Drafted and edited	Tucker, 11/16	
						Add. 14,438, foll. 50-52	1#14	XXI	XXI	XXI	21	21	Approx. 6c	1183				Tucker	Drafted and edited	Tucker, 11/16	
						Add. 14,431	1#14-15	XXII	XXII	XXII	22	22	545	87				Daniel	Drafted and edited	Tucker, 8/17	As above, I moved some of the contents of <handNote>s into <additions> and put <ref target>s in the <handNote>
						Add. 14,442, foll. 47-65	1#15	XXIII	XXIII	XXIII	23	23	Approx. 6c-7c	108				Daniel	Drafted and edited	Tucker, 8/30	Moved some of the <handNote> contents into additions and linked to them. Changed the <desc>s in <additions> to <p>s.
						Add. 14,430	1#15-16	XXIV	XXIV	XXIV	24	24	724	86				Daniel	Drafted and edited	Tucker, 8/17	https://github.com/srophe/manuscripts/blob/master/86.xml#L137-160 I moved the reference to the first two additions under the first handNote because it seemed that that was the hand of the scribe writing that. I also moved some of the content of handNotes into <additions> and referenced them in the handNote so that all of that information is there in the additions for other links.
						Add. 17,108	1#18	XXIX	XXIX	XXIX	29	29	Approx. 6c	737				Daniel	Drafted and edited	Tucker, 8/29	For running titles, <fw> should be contained by, rather than contain, <rubric>. Moved contents of <handNote2> into an addition and linked to it.
						Add. 17,104	1#16-17	XXV	XXV	XXV	25	25	Approx. 6c	731				Daniel	Drafted and edited	Tucker, 9/6	Rearranged <msItem>s, <handNote>s and <additions>. Added a table. Word document mistakenly said entry needs Arabic when in fact it needs Hebrew. Not sure if this may have happened in other entries as well. Probably not because this one specifically had to do with Hebrew and so I don't expect it would be a common occurrence. I changed the future change in the <revisionDesc> but have not yet made Hebrew an option for the change in the schema.
						Add. 14,443, foll. 1-34	1#17	XXVI	XXVI	XXVI	26	26	Approx. 6c	110				Daniel	Drafted and edited	Tucker, 9/4	
						Add. 14,666, fol. 2	1#17	XXVII	XXVII	XXVII	27	27	Approx. 8c	447				Daniel	Drafted and edited	Tucker, 12/26	
						Add. 14,666, fol. 1	1#17	XXVIII	XXVIII	XXVIII	28	28	Approx. 10c-11c	446				Daniel	Drafted and edited	Tucker, 12/26	
						Add. 14,443, foll. 35-71	1#18	XXX	XXX	XXX	30	30	Approx. 6c-7c	111				Daniel	Drafted and edited	Tucker, 9/4	Put the lessons and quire markings into <additions>
						Add. 14,443, foll. 72-98	1#18	XXXI	XXXI	XXXI	31	31	Approx. 6c-7c	112				Daniel	Drafted and edited	Tucker, 9/4	Rearranged some of the <additions>
						Add. 18,715	1#18-20	XXXII	XXXII	XXXII	32	32	Approx. 12c	1116				Daniel	Drafted		
						Add. 14,668, foll. 20-25	1#20-21	XXXIII	XXXIII	XXXIII	33	33	Approx. 8c	487				Tucker	Drafted and edited	Tucker, 2/28/2014	
						(Add. 14,432)	1#21	XXXIV	XXXIV	XXXIV	34	34		88				Daniel	Drafted and edited	Tucker, 8/21	
						Add. 14,432, foll. 1-122	1#21	XXXIV	XXXIV	XXXIV	34	34	Approx. 6c	1173				Daniel	Drafted and edited	Tucker, 8/21	"The biggest thing here was that the wording of the leaf containing Jeremiah from a different manuscript I decided should probably be a unique <msPart>, so I added that structure. I also changed the URI of Jeremiah from Jeremiah Peshitta (that contains all the other ""Jeremiah"" stuff) to Jeremiah SBL since the Jeremiah text contained in that leaf seems to come from Jeremiah proper."
						Add. 14,432, fol. 121	1#21	XXXIV	XXXIV	XXXIV	34	34		1174				Tucker	Drafted and edited		
						Add. 12,136	1#24	XXXIX	XXXIX	XXXIX	39	39	Approx. 7c	8				Tucker	Drafted and edited	Daniel	
						Add. 14,669, fol. 25	1#22	XXXV	XXXV	XXXV	35	35	Approx. 7c	502				Tucker	Drafted and edited	Tucker, 2/28/2014	
						(Add. 17,105)	1#22-23	XXXVI	XXXVI	XXXVI	36	36	Approx. 6c	732				Daniel	Drafted and edited	Tucker, 9/6	
						Add. 17,106, foll. 1-73	1#23	XXXVII	XXXVII	XXXVII	37	37	Approx. 6c-7c	734				Tucker	Drafted		
						Add. 17,107	1#23-24	XXXVIII	XXXVIII	XXXVIII	38	38	541	736				Tucker	Drafted		
						(Add. 12,133)			#N/A	#N/A				1				Daniel	Drafted and edited	Tucker, 8/14	
						(Add. 12,135)			#N/A	#N/A				5				Tucker	Drafted and edited	Daniel, 8/17	"⁃ https://github.com/srophe/manuscripts/blob/master/5.xml#L87 |||| p1a1 - uniform ways of making the title? I did mine a bit differently. e.g. I would have ""The book of Ezekiel, according to the Peshitta version."" Yes, please keep close to what Wright said, even if verbose.
⁃ https://github.com/srophe/manuscripts/blob/master/5.xml#L90 ||| Should we tag sic like this? (p1a1 rubric) - Since the sic applies to the syriac spelling and is understood in english as ""sic"". Michelson and I discussed SIC as something to be done later. Turn wright into ""sic"" into a sic element that wraps the whole quote. We are giving up wright's word specific sic in exchange for less awkward text wrapping.
⁃ I have not been treating all additions all colophons? 
⁃ I have not included in. in measure. 
⁃ https://github.com/srophe/manuscripts/blob/master/5.xml#L148 ||| p1addition1 and addition2 - should the english translations of the syriac quote - not be in quote?
⁃ https://github.com/srophe/manuscripts/blob/master/5.xml#L161 Should the medium for p1addition3's handNote (need to make new one if so) have red for the red ink?"
						(Add. 12,142)			#N/A	#N/A				14				Daniel	Drafted and edited	Tucker, 12/31	
						(Add. 12,160)			#N/A	#N/A				35				Justin	Drafted		
						(Add. 12,163)			#N/A	#N/A				40				Justin	Drafted		
						(Add. 12,166)			#N/A	#N/A				46				Justin	Drafted		
						(Add. 12,169)			#N/A	#N/A				51				Daniel 	Drafted		
						(Add. 12,170)			#N/A	#N/A				54				Justin	Drafted		
						(Add. 12,171)			#N/A	#N/A				58							
						(Add. 12,172)			#N/A	#N/A				61				Tucker	Drafted and edited	Tucker, 11/9	
						(Add. 12,175)			#N/A	#N/A				71				Julia	Drafted	Justin 3/17/2015	
						(Add. 14,434)			#N/A	#N/A				90				Daniel	Drafted and edited	Tucker, 8/24	
						(Add. 14,436)			#N/A	#N/A				94							
						(Add. 14,437)			#N/A	#N/A				97				Daniel	Drafted and edited	Tucker, 8/28	
						(Add. 14,438)			#N/A	#N/A				100				Tucker	Drafted and edited	Tucker, 11/16	
						(Add. 14,442)			#N/A	#N/A				106				Daniel	Drafted and edited	Tucker, 8/30	
						(Add. 14,443)			#N/A	#N/A				109				Daniel	Drafted and edited	Tucker, 9/4	
						(Add. 14,444)			#N/A	#N/A				114				Tucker	Drafted and edited	Tucker, 11/16	
						(Add. 14,445)			#N/A	#N/A				117				Tucker	Drafted and edited	Daniel, 8/27	"⁃ https://github.com/srophe/manuscripts/blob/master/117.xml#L90 ||| Edited title name - took ""including all the Apocryphal portions"" from a <note> and placed it in the title. Mostly for clarification with b1.
⁃ https://github.com/srophe/manuscripts/blob/master/117.xml#L172 ||| See collation?"
						(Add. 14,452)			#N/A	#N/A				125					Waiting to hear from TEI list about how to link to 14451 1-22		
						(Add. 14,457)			#N/A	#N/A				130							
						(Add. 14,459)			#N/A	#N/A				132				Tucker	Drafted and edited	Tucker, 1/2/2014	
						(Add. 14,461)			#N/A	#N/A				136				Daniel	Drafted and edited	Tucker, 1/2/2014	
						(Add. 14,466)			#N/A	#N/A				143				Daniel 	Drafted and edited	Tucker, 12/21	
						(Add. 14,468)			#N/A	#N/A				149				Justin, Erin, Alex	Drafted and edited	DM, 10/7	
						(Add. 14,473)			#N/A	#N/A				156				Tucker	Drafted and edited	Tucker, 1/3/2014	
						(Add. 14,484)			#N/A	#N/A				169				Tucker	Drafted and edited	Tucker, 2/21/2014	
						(Add 14,490)			#N/A	#N/A				180				Peter	Drafted		
						(Add. 14,506)			#N/A	#N/A				196				Peter	Drafted		
						(Add. 14,512)	1#250-251		#N/A	#N/A				206				Prince	Drafted		
						(Add. 14,522)			#N/A	#N/A				216				Justin	Drafted		
						(Add. 14,523)			#N/A	#N/A				222				Peter	Drafted		
						(Add. 14,524)			#N/A	#N/A				233				Tucker			
						(Add. 14,525)			#N/A	#N/A				242							
						(Add. 14,526)			#N/A	#N/A				249							
						(Add. 14,428)			#N/A	#N/A				253							
						(Add. 14,541)			#N/A	#N/A				268				Daniel/Peter	Drafted		
						(Add. 14,555)			#N/A	#N/A				286				Justin	Drafted		
						(Add. 14,566)			#N/A	#N/A				297				Justin	Drafted		
						(Add. 14,574)			#N/A	#N/A				307				Justin	Drafted		
						(Add. 14,608)			#N/A	#N/A				344				Peter	Drafted		
						(Add. 14,614)			#N/A	#N/A				352				Peter	Drafted		
						(Add. 14,628)			#N/A	#N/A				368							
						(Add. 14,629)			#N/A	#N/A				371							
						(Add. 14,630)			#N/A	#N/A				374				Peter	Drafted		
						(Add. 14,631)			#N/A	#N/A				378							
						(Add. 14,634)			#N/A	#N/A				384				Justin	Drafted		
						(Add. 14,635)			#N/A	#N/A				389				Justin	Drafted		
						(Add. 14,636)			#N/A	#N/A				395							
						(Add. 14,638)			#N/A	#N/A				400							
						(Add. 14,646)			#N/A	#N/A				410				Peter	Drafted		
						(Add. 14,649)			#N/A	#N/A				415							
						(Add. 14,664)			#N/A	#N/A				432				Tucker	Drafted and edited	Tucker, 2/21/2014	
