Add. 14,635, foll. 5-15	2#449-450	DLXVIII	568	Approx. 6c	391
Add. 14,635, foll. 16-18	2#414	DXLI	541	Approx. 6c (555)	392
Add. 14,635, foll. 19, 20	2#419	DXLIX	549	Approx. 8c-9c	393
Add. 14,635, foll. 21-24	1#176	CCXXXVII	237	Approx. 11c	394
(Add. 14,636)					395
Add. 14,636, foll. 1-56	1#398	DXXII	522	Approx. 9c-10c	396
Add. 14,636, foll. 57-76	2#1019	DCCCLXXIII	873	Approx. 10c	397
Add. 14,636, foll. 77-82	2#1020	DCCCLXXIV	874	Approx. 10c	398
Add. 14,637	2#833-834	DCCCXVIII	818	Approx. 7c-8c	399
(Add. 14,638)					400
Add. 14,638, foll. 1-18	1#398-399	DXXIII	523	Approx. 9c-10c	401
Add. 14,638, foll. 19-26	1#399	DXXIV	524	Approx. 10c	402
Add. 14,639	3#1039-1040	DCCCCXI	911	Approx. 6c	403
Add. 14,640	3#1061-1062	DCCCCXX	920	Approx. 7c	404
Add. 14,641	3#1042-1046	DCCCCXVIII	918	Approx. 6c	405
Add. 14,642	3#1041-1042	DCCCCXVI	916	Approx. 10c	406
Add. 14,643	3#1040-1041	DCCCCXIII	913	Approx. 8c (mid)	407
Add. 14,644	3#1083-1086	DCCCCXXXVI	936	Approx. 5c-6c	408
Add. 14,645	3#1111-1116	DCCCCLII	952	936	409
(Add. 14,646)					410
Add. 14,646, foll. 1-133	3#1086-1087	DCCCCXXXVII	937	Approx. 6c	411
Add. 14,646, foll. 134-194	3#1087	DCCCCXXXIX	939	Approx. 6c	412
Add. 14,647	3#1094-1100	DCCCCXLV	945	688	413
Add. 14,648	3#1091-1092	DCCCCXLIII	943	Approx. 6c	414
(Add. 14,649)					415
Add. 14,649, foll. 1-179	3#1108-1111	DCCCCL	950	Approx. 9c	416
Add. 14,649, foll. 180-205	2#533	DCLXXXIII	683	Approx. 9c	417
Add. 14,650	3#1103-1107	DCCCCXLIX	949	Approx. 6c-7c	418
Add. 14,651	3#1101-1103	DCCCCXLVIII	948	850	419
Add. 14,652	2#651-652	DCCXXXI	731	Approx. 6c	420
Add. 14,653	2#807-809	DCCCIV	804	Approx. 9c-10c	421
Add. 14,654	3#1081-1083	DCCCCXXXV	935	Approx. 5c-6c	422
Add. 14,655	3#1119-1120	DCCCCLVII	957	Approx. 11c	423
Add. 14,656	2#819	DCCCXI	811	Approx. 10c	424
Add. 14,657	3#1150	DCCCCLXXIV	974	Approx. 9c	425
