Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Darabgird,Darabgird,,syriaca.org/place/4240,,,,,,,,,9,,,,,,9,826
Dasht-e Kavir,Dasht-e Kavir,,syriaca.org/place/4241,,,,,,,,,9,,,,,,9,826
Dasht-e Lut,Dasht-e Lut,,syriaca.org/place/4242,,,,,,,,,9,,,,,,9,826
Dasqarta d-Malka,Dasqarta d-Malka,,syriaca.org/place/4016,1,,,,,,,8,,,,,,,"1, 8",826
Datong,Datong,Xijing,syriaca.org/place/4417,,,,,,,,,,,11,,,,11,826
Daybul,Daybul,,syriaca.org/place/4243,,,,,,,,,9,,11,,,,"9, 11",826
Dayirin,Dayirin,Tarut,syriaca.org/place/4150,,,,,,6,,,9,,,,,,"6, 9",826
Dayr al-Suryan,Dayr al-Suryan,,syriaca.org/place/360,,,,,5,,,,,,,,,,5,826
Dayr al-Zaʿfaran,Dayr al-Zaʿfaran,,syriaca.org/place/69,,,,,,,,,,,,,,14,14,827
Dayr Qannubin,Dayr Qannubin,,syriaca.org/place/270,,,,4,,,,,,,,,,,4,827
Dead Sea,Dead Sea,,syriaca.org/place/4017,,,,,5,,,,,,,,,,5,827
Delhi,Delhi,,syriaca.org/place/4354,,,,,,,,,,,11,,,,11,827
Diamper,Diamper,Udayamperur ,syriaca.org/place/4432,,,,,,,,,,,,12,13,,"12, 13",827
Didao,Didao,Lintao,syriaca.org/place/4469,,,,,,,,,,,11,,,,11,827
Dinawar,Dinawar,,syriaca.org/place/4070,,2,,,,,,8,9,,,,,,"2, 8, 9",827
Diyala River,Diyala River,,syriaca.org/place/4186,1,2,,,,,7,8,,,,,,,"1, 2, 7, 8",827
Diyana,Diyana,,syriaca.org/place/1169,,,,,,,,,,,,,,14,14,827
Diyarbakir,Diyarbakir,Amida,syriaca.org/place/8,,2,,,,,7,,,,,,,,"2, 7",827
Dobe,Dobe,,syriaca.org/place/4454,,,,,,,,,,,,,,14,14,827
Dohok,Dohok,Dohuk,syriaca.org/place/76,,,,,,,,,,,,,,14,14,827
Dohuk,Dohuk,Dohok,syriaca.org/place/76 ,1,2,,,,,7,,,,,,,,"1, 2, 7",827
Drangtse,Drangtse,Tangtse,syriaca.org/place/4287,,,,,,,,,,10,,,,,10,827
Dumatha,Dumatha,Adummatu,syriaca.org/place/4001,1,,,,,,,,,,,,,,1,827
Dunhuang,Dunhuang,,syriaca.org/place/4000,,,,,,,,,,,11,,,,11,827
Dura,Dura,Europos,syriaca.org/place/77,1,,,,,,7,,,,,,,,"1, 7",827
Dvin,Dvin,,syriaca.org/place/4018,1,2,,,,,,,9,,,,,,"1, 2, 9",827
Echmiadzin,Echmiadzin,Vagharshapat,syriaca.org/place/4054,,2,,,,,,,,,,,,,2,827
Edappally,Edappally,,syriaca.org/place/4529,,,,,,,,,,,,,13,,13,827
Edessa,Edessa,,syriaca.org/place/78,1,2,,,,,7,,,,,,,,"1, 2, 7",827
Egypt,Egypt,,syriaca.org/place/715,,,,,5,6,,,,,,,,,"5, 6",827
Ehden,Ehden,Mar Sargis,syriaca.org/place/271,,,,4,,,,,,,,,,,4,827
Elam,Elam,"Beth Ḥuzaye, Khuzistan",syriaca.org/place/706,1,,,,,,,8,,,,,,,"1, 8",827
"Emei, Mount",Mount Emei,,syriaca.org/place/4479,,,,,,,,,,,11,,,,11,827
Emesa,Emesa,Ḥomṣ,syriaca.org/place/215,1,,3,,,,,,,,,,,,"1, 3",827
Enaton,Enaton,,syriaca.org/place/473,,,,,5,,,,,,,,,,5,827
Epiphaneia,Epiphaneia,Ḥama,syriaca.org/place/91,1,,3,,,,,,,,,,,,"1, 3",827
